Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Total
1952,Palestinian,PSE,State of Palestine,PSE,206014
1953,Palestinian,PSE,State of Palestine,PSE,209229
1954,Palestinian,PSE,State of Palestine,PSE,212620
1955,Palestinian,PSE,State of Palestine,PSE,216227
1956,Palestinian,PSE,State of Palestine,PSE,219423
1957,Palestinian,PSE,State of Palestine,PSE,227427
1958,Palestinian,PSE,State of Palestine,PSE,245343
1959,Palestinian,PSE,State of Palestine,PSE,251976
1960,Palestinian,PSE,State of Palestine,PSE,258165
1961,Palestinian,PSE,State of Palestine,PSE,265430
1962,Palestinian,PSE,State of Palestine,PSE,273038
1963,Palestinian,PSE,State of Palestine,PSE,283782
1964,Palestinian,PSE,State of Palestine,PSE,293024
1965,Palestinian,PSE,State of Palestine,PSE,301879
1966,Palestinian,PSE,State of Palestine,PSE,311846
1967,Palestinian,PSE,State of Palestine,PSE,295040
1968,Palestinian,PSE,State of Palestine,PSE,576889
1969,Palestinian,PSE,State of Palestine,PSE,580025
1970,Palestinian,PSE,State of Palestine,PSE,585231
1971,Palestinian,PSE,State of Palestine,PSE,596684
1972,Palestinian,PSE,State of Palestine,PSE,608237
1973,Palestinian,PSE,State of Palestine,PSE,607485
1974,Palestinian,PSE,State of Palestine,PSE,616545
1975,Palestinian,PSE,State of Palestine,PSE,631554
1976,Palestinian,PSE,State of Palestine,PSE,641403
1977,Palestinian,PSE,State of Palestine,PSE,656181
1978,Palestinian,PSE,State of Palestine,PSE,672664
1979,Palestinian,PSE,State of Palestine,PSE,685793
1980,Palestinian,PSE,State of Palestine,PSE,697453
1981,Palestinian,PSE,State of Palestine,PSE,707689
1982,Palestinian,PSE,State of Palestine,PSE,722965
1983,Palestinian,PSE,State of Palestine,PSE,738797
1984,Palestinian,PSE,State of Palestine,PSE,775798
1985,Palestinian,PSE,State of Palestine,PSE,792997
1986,Palestinian,PSE,State of Palestine,PSE,808938
1987,Palestinian,PSE,State of Palestine,PSE,828482
1988,Palestinian,PSE,State of Palestine,PSE,856639
1989,Palestinian,PSE,State of Palestine,PSE,886736
1990,Palestinian,PSE,State of Palestine,PSE,931338
1991,Palestinian,PSE,State of Palestine,PSE,987508
1992,Palestinian,PSE,State of Palestine,PSE,1055436
1993,Palestinian,PSE,State of Palestine,PSE,1117275
1994,Palestinian,PSE,State of Palestine,PSE,1178777
1995,Palestinian,PSE,State of Palestine,PSE,1224996
1996,Palestinian,PSE,State of Palestine,PSE,1270333
1997,Palestinian,PSE,State of Palestine,PSE,1308438
1998,Palestinian,PSE,State of Palestine,PSE,1348288
1999,Palestinian,PSE,State of Palestine,PSE,1384655
2000,Palestinian,PSE,State of Palestine,PSE,1428891
2001,Palestinian,PSE,State of Palestine,PSE,1483394
2002,Palestinian,PSE,State of Palestine,PSE,1532589
2003,Palestinian,PSE,State of Palestine,PSE,1587920
2004,Palestinian,PSE,State of Palestine,PSE,1634952
2005,Palestinian,PSE,State of Palestine,PSE,1685851
2006,Palestinian,PSE,State of Palestine,PSE,1739266
2007,Palestinian,PSE,State of Palestine,PSE,1793901
2008,Palestinian,PSE,State of Palestine,PSE,1836123
2009,Palestinian,PSE,State of Palestine,PSE,1885188
2010,Palestinian,PSE,State of Palestine,PSE,1841769
2011,Palestinian,PSE,State of Palestine,PSE,1895043
2012,Palestinian,PSE,State of Palestine,PSE,1944544
2013,Palestinian,PSE,State of Palestine,PSE,1994493
2014,Palestinian,PSE,State of Palestine,PSE,2051096
2015,Palestinian,PSE,State of Palestine,PSE,2104001
2016,Palestinian,PSE,State of Palestine,PSE,2158274
2017,Palestinian,PSE,State of Palestine,PSE,2214783
2018,Palestinian,PSE,State of Palestine,PSE,2267747
2019,Palestinian,PSE,State of Palestine,PSE,2319073
1952,Palestinian,PSE,Jordan,JOR,472647
1953,Palestinian,PSE,Jordan,JOR,479243
1954,Palestinian,PSE,Jordan,JOR,493109
1955,Palestinian,PSE,Jordan,JOR,505704
1956,Palestinian,PSE,Jordan,JOR,511413
1957,Palestinian,PSE,Jordan,JOR,534604
1958,Palestinian,PSE,Jordan,JOR,586706
1959,Palestinian,PSE,Jordan,JOR,604236
1960,Palestinian,PSE,Jordan,JOR,623660
1961,Palestinian,PSE,Jordan,JOR,633197
1962,Palestinian,PSE,Jordan,JOR,644940
1963,Palestinian,PSE,Jordan,JOR,662525
1964,Palestinian,PSE,Jordan,JOR,678985
1965,Palestinian,PSE,Jordan,JOR,697658
1966,Palestinian,PSE,Jordan,JOR,714763
1967,Palestinian,PSE,Jordan,JOR,668453
1968,Palestinian,PSE,Jordan,JOR,478369
1969,Palestinian,PSE,Jordan,JOR,499460
1970,Palestinian,PSE,Jordan,JOR,520997
1971,Palestinian,PSE,Jordan,JOR,542549
1972,Palestinian,PSE,Jordan,JOR,557971
1973,Palestinian,PSE,Jordan,JOR,582400
1974,Palestinian,PSE,Jordan,JOR,607430
1975,Palestinian,PSE,Jordan,JOR,636778
1976,Palestinian,PSE,Jordan,JOR,653708
1977,Palestinian,PSE,Jordan,JOR,672301
1978,Palestinian,PSE,Jordan,JOR,690298
1979,Palestinian,PSE,Jordan,JOR,706625
1980,Palestinian,PSE,Jordan,JOR,723551
1981,Palestinian,PSE,Jordan,JOR,736920
1982,Palestinian,PSE,Jordan,JOR,756487
1983,Palestinian,PSE,Jordan,JOR,771134
1984,Palestinian,PSE,Jordan,JOR,790430
1985,Palestinian,PSE,Jordan,JOR,811260
1986,Palestinian,PSE,Jordan,JOR,834271
1987,Palestinian,PSE,Jordan,JOR,859689
1988,Palestinian,PSE,Jordan,JOR,884040
1989,Palestinian,PSE,Jordan,JOR,916013
1990,Palestinian,PSE,Jordan,JOR,943819
1991,Palestinian,PSE,Jordan,JOR,989207
1992,Palestinian,PSE,Jordan,JOR,1042123
1993,Palestinian,PSE,Jordan,JOR,1140199
1994,Palestinian,PSE,Jordan,JOR,1239811
1995,Palestinian,PSE,Jordan,JOR,1328768
1996,Palestinian,PSE,Jordan,JOR,1389603
1997,Palestinian,PSE,Jordan,JOR,1437371
1998,Palestinian,PSE,Jordan,JOR,1487449
1999,Palestinian,PSE,Jordan,JOR,1541405
2000,Palestinian,PSE,Jordan,JOR,1609566
2001,Palestinian,PSE,Jordan,JOR,1662227
2002,Palestinian,PSE,Jordan,JOR,1698271
2003,Palestinian,PSE,Jordan,JOR,1740170
2004,Palestinian,PSE,Jordan,JOR,1776669
2005,Palestinian,PSE,Jordan,JOR,1827877
2006,Palestinian,PSE,Jordan,JOR,1858362
2007,Palestinian,PSE,Jordan,JOR,1903490
2008,Palestinian,PSE,Jordan,JOR,1951603
2009,Palestinian,PSE,Jordan,JOR,1983733
2010,Palestinian,PSE,Jordan,JOR,1942431
2011,Palestinian,PSE,Jordan,JOR,1979580
2012,Palestinian,PSE,Jordan,JOR,2034641
2013,Palestinian,PSE,Jordan,JOR,2070973
2014,Palestinian,PSE,Jordan,JOR,2117361
2015,Palestinian,PSE,Jordan,JOR,2144233
2016,Palestinian,PSE,Jordan,JOR,2175491
2017,Palestinian,PSE,Jordan,JOR,2206736
2018,Palestinian,PSE,Jordan,JOR,2242579
2019,Palestinian,PSE,Jordan,JOR,2272411
1952,Palestinian,PSE,Lebanon,LBN,103137
1953,Palestinian,PSE,Lebanon,LBN,100942
1954,Palestinian,PSE,Lebanon,LBN,102851
1955,Palestinian,PSE,Lebanon,LBN,101536
1956,Palestinian,PSE,Lebanon,LBN,103167
1957,Palestinian,PSE,Lebanon,LBN,108748
1958,Palestinian,PSE,Lebanon,LBN,129228
1959,Palestinian,PSE,Lebanon,LBN,134569
1960,Palestinian,PSE,Lebanon,LBN,137884
1961,Palestinian,PSE,Lebanon,LBN,142670
1962,Palestinian,PSE,Lebanon,LBN,146969
1963,Palestinian,PSE,Lebanon,LBN,152747
1964,Palestinian,PSE,Lebanon,LBN,157274
1965,Palestinian,PSE,Lebanon,LBN,162499
1966,Palestinian,PSE,Lebanon,LBN,161262
1967,Palestinian,PSE,Lebanon,LBN,122967
1968,Palestinian,PSE,Lebanon,LBN,168927
1969,Palestinian,PSE,Lebanon,LBN,173539
1970,Palestinian,PSE,Lebanon,LBN,177862
1971,Palestinian,PSE,Lebanon,LBN,181764
1972,Palestinian,PSE,Lebanon,LBN,185597
1973,Palestinian,PSE,Lebanon,LBN,189277
1974,Palestinian,PSE,Lebanon,LBN,192830
1975,Palestinian,PSE,Lebanon,LBN,197974
1976,Palestinian,PSE,Lebanon,LBN,199238
1977,Palestinian,PSE,Lebanon,LBN,206521
1978,Palestinian,PSE,Lebanon,LBN,215248
1979,Palestinian,PSE,Lebanon,LBN,223470
1980,Palestinian,PSE,Lebanon,LBN,230105
1981,Palestinian,PSE,Lebanon,LBN,233881
1982,Palestinian,PSE,Lebanon,LBN,239217
1983,Palestinian,PSE,Lebanon,LBN,252593
1984,Palestinian,PSE,Lebanon,LBN,260270
1985,Palestinian,PSE,Lebanon,LBN,267614
1986,Palestinian,PSE,Lebanon,LBN,274878
1987,Palestinian,PSE,Lebanon,LBN,282757
1988,Palestinian,PSE,Lebanon,LBN,292098
1989,Palestinian,PSE,Lebanon,LBN,296871
1990,Palestinian,PSE,Lebanon,LBN,306471
1991,Palestinian,PSE,Lebanon,LBN,315508
1992,Palestinian,PSE,Lebanon,LBN,324219
1993,Palestinian,PSE,Lebanon,LBN,334659
1994,Palestinian,PSE,Lebanon,LBN,342121
1995,Palestinian,PSE,Lebanon,LBN,349773
1996,Palestinian,PSE,Lebanon,LBN,356258
1997,Palestinian,PSE,Lebanon,LBN,362098
1998,Palestinian,PSE,Lebanon,LBN,367610
1999,Palestinian,PSE,Lebanon,LBN,373440
2000,Palestinian,PSE,Lebanon,LBN,380072
2001,Palestinian,PSE,Lebanon,LBN,384918
2002,Palestinian,PSE,Lebanon,LBN,389233
2003,Palestinian,PSE,Lebanon,LBN,394532
2004,Palestinian,PSE,Lebanon,LBN,399152
2005,Palestinian,PSE,Lebanon,LBN,404170
2006,Palestinian,PSE,Lebanon,LBN,408438
2007,Palestinian,PSE,Lebanon,LBN,413962
2008,Palestinian,PSE,Lebanon,LBN,422188
2009,Palestinian,PSE,Lebanon,LBN,425640
2010,Palestinian,PSE,Lebanon,LBN,430078
2011,Palestinian,PSE,Lebanon,LBN,436154
2012,Palestinian,PSE,Lebanon,LBN,441543
2013,Palestinian,PSE,Lebanon,LBN,447328
2014,Palestinian,PSE,Lebanon,LBN,452669
2015,Palestinian,PSE,Lebanon,LBN,458369
2016,Palestinian,PSE,Lebanon,LBN,463664
2017,Palestinian,PSE,Lebanon,LBN,469555
2018,Palestinian,PSE,Lebanon,LBN,475075
2019,Palestinian,PSE,Lebanon,LBN,476033
1952,Palestinian,PSE,Syrian Arab Rep.,SYR,85660
1953,Palestinian,PSE,Syrian Arab Rep.,SYR,85182
1954,Palestinian,PSE,Syrian Arab Rep.,SYR,86669
1955,Palestinian,PSE,Syrian Arab Rep.,SYR,88958
1956,Palestinian,PSE,Syrian Arab Rep.,SYR,90919
1957,Palestinian,PSE,Syrian Arab Rep.,SYR,97007
1958,Palestinian,PSE,Syrian Arab Rep.,SYR,109506
1959,Palestinian,PSE,Syrian Arab Rep.,SYR,112949
1960,Palestinian,PSE,Syrian Arab Rep.,SYR,116778
1961,Palestinian,PSE,Syrian Arab Rep.,SYR,120577
1962,Palestinian,PSE,Syrian Arab Rep.,SYR,124626
1963,Palestinian,PSE,Syrian Arab Rep.,SYR,129010
1964,Palestinian,PSE,Syrian Arab Rep.,SYR,133366
1965,Palestinian,PSE,Syrian Arab Rep.,SYR,138081
1966,Palestinian,PSE,Syrian Arab Rep.,SYR,142206
1967,Palestinian,PSE,Syrian Arab Rep.,SYR,127304
1968,Palestinian,PSE,Syrian Arab Rep.,SYR,151730
1969,Palestinian,PSE,Syrian Arab Rep.,SYR,156635
1970,Palestinian,PSE,Syrian Arab Rep.,SYR,160932
1971,Palestinian,PSE,Syrian Arab Rep.,SYR,166099
1972,Palestinian,PSE,Syrian Arab Rep.,SYR,171230
1973,Palestinian,PSE,Syrian Arab Rep.,SYR,175817
1974,Palestinian,PSE,Syrian Arab Rep.,SYR,179916
1975,Palestinian,PSE,Syrian Arab Rep.,SYR,186130
1976,Palestinian,PSE,Syrian Arab Rep.,SYR,189902
1977,Palestinian,PSE,Syrian Arab Rep.,SYR,195517
1978,Palestinian,PSE,Syrian Arab Rep.,SYR,200605
1979,Palestinian,PSE,Syrian Arab Rep.,SYR,206045
1980,Palestinian,PSE,Syrian Arab Rep.,SYR,212053
1981,Palestinian,PSE,Syrian Arab Rep.,SYR,216351
1982,Palestinian,PSE,Syrian Arab Rep.,SYR,223122
1983,Palestinian,PSE,Syrian Arab Rep.,SYR,229433
1984,Palestinian,PSE,Syrian Arab Rep.,SYR,240718
1985,Palestinian,PSE,Syrian Arab Rep.,SYR,247991
1986,Palestinian,PSE,Syrian Arab Rep.,SYR,254293
1987,Palestinian,PSE,Syrian Arab Rep.,SYR,261694
1988,Palestinian,PSE,Syrian Arab Rep.,SYR,269142
1989,Palestinian,PSE,Syrian Arab Rep.,SYR,276547
1990,Palestinian,PSE,Syrian Arab Rep.,SYR,284888
1991,Palestinian,PSE,Syrian Arab Rep.,SYR,294050
1992,Palestinian,PSE,Syrian Arab Rep.,SYR,306042
1993,Palestinian,PSE,Syrian Arab Rep.,SYR,321104
1994,Palestinian,PSE,Syrian Arab Rep.,SYR,332465
1995,Palestinian,PSE,Syrian Arab Rep.,SYR,342507
1996,Palestinian,PSE,Syrian Arab Rep.,SYR,352136
1997,Palestinian,PSE,Syrian Arab Rep.,SYR,361202
1998,Palestinian,PSE,Syrian Arab Rep.,SYR,370035
1999,Palestinian,PSE,Syrian Arab Rep.,SYR,378382
2000,Palestinian,PSE,Syrian Arab Rep.,SYR,387526
2001,Palestinian,PSE,Syrian Arab Rep.,SYR,396248
2002,Palestinian,PSE,Syrian Arab Rep.,SYR,405601
2003,Palestinian,PSE,Syrian Arab Rep.,SYR,413827
2004,Palestinian,PSE,Syrian Arab Rep.,SYR,421737
2005,Palestinian,PSE,Syrian Arab Rep.,SYR,432048
2006,Palestinian,PSE,Syrian Arab Rep.,SYR,442363
2007,Palestinian,PSE,Syrian Arab Rep.,SYR,451467
2008,Palestinian,PSE,Syrian Arab Rep.,SYR,461897
2009,Palestinian,PSE,Syrian Arab Rep.,SYR,472109
2010,Palestinian,PSE,Syrian Arab Rep.,SYR,476801
2011,Palestinian,PSE,Syrian Arab Rep.,SYR,486946
2012,Palestinian,PSE,Syrian Arab Rep.,SYR,499189
2013,Palestinian,PSE,Syrian Arab Rep.,SYR,517255
2014,Palestinian,PSE,Syrian Arab Rep.,SYR,528616
2015,Palestinian,PSE,Syrian Arab Rep.,SYR,534654
2016,Palestinian,PSE,Syrian Arab Rep.,SYR,543014
2017,Palestinian,PSE,Syrian Arab Rep.,SYR,551873
2018,Palestinian,PSE,Syrian Arab Rep.,SYR,560139
2019,Palestinian,PSE,Syrian Arab Rep.,SYR,562312
